casualty_imd_quintile,driver_imd_quintile,crash_quintile,ranked_dist,demog_dist,crash_count,ranked_occurrences,crash_count_dist,crash_prop_dist
3 mid deprived,2 more deprived,2 more deprived,2,1.4142135623730951,619,6,16365,0.3346899541884817
3 mid deprived,2 more deprived,3 mid deprived,2,1.4142135623730951,721,6,16365,0.3346899541884817
3 mid deprived,2 more deprived,4 less deprived,3,2.449489742783178,269,4,5503,0.11254499345549739
3 mid deprived,2 more deprived,5 least deprived,5,3.7416573867739413,95,4,4354,0.0890461387434555
3 mid deprived,3 mid deprived,1 most deprived,4,2.8284271247461903,239,3,6916,0.14144306282722513
3 mid deprived,3 mid deprived,2 more deprived,2,1.4142135623730951,553,6,16365,0.3346899541884817
3 mid deprived,3 mid deprived,3 mid deprived,1,0,1228,1,9847,0.2013866164921466
3 mid deprived,3 mid deprived,4 less deprived,2,1.4142135623730951,421,6,16365,0.3346899541884817
3 mid deprived,3 mid deprived,5 least deprived,4,2.8284271247461903,156,3,6916,0.14144306282722513
3 mid deprived,4 less deprived,1 most deprived,5,3.7416573867739413,167,4,4354,0.0890461387434555
3 mid deprived,4 less deprived,2 more deprived,3,2.449489742783178,288,4,5503,0.11254499345549739
3 mid deprived,4 less deprived,3 mid deprived,2,1.4142135623730951,523,6,16365,0.3346899541884817
3 mid deprived,4 less deprived,4 less deprived,2,1.4142135623730951,383,6,16365,0.3346899541884817
3 mid deprived,4 less deprived,5 least deprived,3,2.449489742783178,186,2,5503,0.11254499345549739
3 mid deprived,5 least deprived,1 most deprived,7,4.898979485566356,83,2,535,0.010941590314136126
3 mid deprived,5 least deprived,2 more deprived,5,3.7416573867739413,216,6,4354,0.0890461387434555
3 mid deprived,5 least deprived,3 mid deprived,4,2.8284271247461903,408,6,6916,0.14144306282722513
3 mid deprived,5 least deprived,4 less deprived,3,2.449489742783178,232,4,5503,0.11254499345549739
3 mid deprived,5 least deprived,5 least deprived,4,2.8284271247461903,241,3,6916,0.14144306282722513
4 less deprived,1 most deprived,1 most deprived,6,4.242640687119285,269,3,3182,0.06507689790575916
4 less deprived,1 most deprived,2 more deprived,5,3.7416573867739413,251,6,4354,0.0890461387434555
4 less deprived,1 most deprived,3 mid deprived,5,3.7416573867739413,219,4,4354,0.0890461387434555
4 less deprived,1 most deprived,4 less deprived,6,4.242640687119285,262,3,3182,0.06507689790575916
